Image name,Description,Label,Solved,Comment
img_12,"a staircase-like pattern made of straight lines forming three steps, each turning at a right angle. The shape starts with a horizontal line and alternates between vertical and horizontal segments and ends with vertical line, creating an ascending zigzag path from bottom left to top right.",Complex,Solved,
img_13,"a staircase-like pattern made of straight lines forming six steps, each turning at a right angle. The shape starts with a horizontal line and alternates between vertical and horizontal segments and ends with vertical line, creating an ascending zigzag path from bottom left to top right.",Complex,Solved,
img_14,"four-step ladder made of diagonal lines, forming a vertical zigzag pattern that goes from top to bottom. Each step slants alternately left and right, creating a shape that resembles a lightning bolt or a stylized, slanted staircase.",Complex,Solved,
img_15,"a regular pentagon on the left and a square on the right. Both shapes are outlined with bold black lines and are positioned side by side with some space between them, aligned horizontally.",Compositional,Solved,
img_16,"on the left, a regular octagon with eight straight sides, and on the right, a semicircle facing left. Both shapes are outlined with bold black lines and are spaced apart, aligned horizontally",Compositional,Solved,
img_17,"a small circle on the left and a short horizontal line on the right. Both shapes are centered vertically and spaced apart, appearing as simple, bold black outlines.",Compositional,Solved,
img_18, a circle on the left and a regular nonagon on the right. Both are outlined with bold black lines and are horizontally aligned with some space between them.,Compositional,Solved,
img_19,"a regular heptagon on the left and an equilateral triangle on the right. Both shapes are outlined with bold black lines and are positioned side by side, horizontally aligned near with some space between them. ",Compositional,Solved,
img_20,a regular nonagon on the left and a smaller semicircle on the right. The semicircle is positioned slightly above the top right side of the nonagon and is facing left. Both shapes are outlined with bold black lines and spaced apart horizontally.,Compositional,Solved,
img_21,"a small square on the left and a regular hexagon on the right. Both shapes are outlined with bold black lines and are horizontally aligned, with the hexagon positioned slightly higher and larger than the square.",Compositional,Solved,
img_22,"a full circle on the left and a semicircle on the right. Both shapes are outlined with black lines and are horizontally aligned, with the semicircle facing left and there is a large space between them.",Compositional,Unsolved,Partial image
img_23,a square on the left and a triangle on the right. Both shapes are outlined with bold black lines and are horizontally aligned.,Compositional,Solved,
img_24,"a regular heptagon on the left and a small circle on the right. Both shapes are outlined with bold black lines and are horizontally aligned, with the circle appearing smaller and positioned slightly lower than the heptagon.",Compositional,Unsolved,Partial image
img_25,"two semicircles facing each other. The smaller semicircle is on the left and the larger one is on the right. Both are outlined with bold black lines and are horizontally aligned, with the left one slightly higher.",Compositional,Solved,
img_26,a bold black circle on the left and a short horizontal line on the right. Both shapes are horizontally aligned.,Compositional,Unsolved,Partial image
img_27,a small triangle on the left and a regular octagon on the right connected by a horizontal line joining their bases. All shapes are outlined with bold black lines and are aligned horizontally,Compositional,Solved,
img_28,"a pentagon on the left and a circle on the right, connected by a straight horizontal line joining their bases. All shapes are outlined with bold black lines and are aligned in a single row.",Compositional,Unsolved,Partial image
img_29,"a long horizontal line that curves upward into a semicircle at the right end. The semicircle is open toward the left, forming a hook-like shape.",Compositional,Unsolved,Partial image
img_30,"a small circle on the left and a small triangle on the right, connected by a horizontal line joining their bases. Both shapes are outlined with bold black lines and are horizontally aligned.",Compositional,Solved,
img_31,"a circle on the left and a semicircle on the right, connected by a straight horizontal line running along the top. The line touches the top of the circle and curves downward at the right end into the open semicircle, which faces left.",Compositional,Unsolved,Partial image
img_32,two regular pentagons connected by a horizontal line joining their bases. Both shapes are outlined with bold black lines and are evenly spaced and aligned in a straight row.,Compositional,Solved,
img_33,"a small circle on the left and a larger semicircle on the right, connected by a horizontal line joining their bases. The semicircle faces left, and all shapes are outlined with bold black lines and horizontally aligned.",Compositional,Solved,
img_34,two regular octagons connected by a horizontal line joining their bases. Both shapes are outlined with black lines and are symmetrically aligned on either side of the line.,Compositional,Unsolved,Partial image
img_35,"a heptagon on the left and a smaller pentagon on the right, connected by a horizontal line joining their bases. Both shapes are outlined with black lines and are horizontally aligned.",Compositional,Unsolved,
img_36,"a square on the left and a semicircle on the right, connected by a long horizontal line running above both shapes. The semicircle is open to the left, and all elements are outlined with black lines and horizontally aligned.",Compositional,Unsolved,
img_37,"a small square on the left and a regular hexagon on the right, connected by a horizontal line joining their bases. Both shapes are outlined with black lines and are horizontally aligned.",Compositional,Solved,
img_38,"circle on the left and a larger pentagon on the right, connected by a horizontal line joining their bases. Both shapes are outlined with bold black lines and are horizontally aligned.",Compositional,Solved,
img_39,"four small triangles placed side by side, sharing a common base line. All the triangles are outlined with bold black lines, forming a horizontal row of peaks.",Compositional,Solved,
img_40,"six identical semicircles arranged in a horizontal row, all facing left. Each semicircle is outlined with a bold black line, and they are evenly spaced, creating a repeating curved pattern.",Compositional,Solved,
img_41,"five identical circles arranged in a horizontal row with interlocking together with overlapping edges. All circles are outlined with bold black lines, creating a chain-like appearance",Compositional,Solved,
img_42,"three identical semicircles arranged in a horizontal row, all facing left. Each semicircle is outlined with a bold black line and evenly spaced from the others.",Compositional,Solved,
img_43,"four identical circles arranged in a horizontal row with interlocking together with overlapping edges. All circles are outlined with bold black lines, creating a chain-like appearance",Compositional,Solved,
img_44,five hollow black circles arranged in a horizontal line with overlapping edges.,Compositional,Solved,
img_45,six hollow black circles arranged in a horizontal line with overlapping edges.,Compositional,Solved,
img_46,"5 overlapping identical pentagons arranged in a horizontal row, each sharing a side with its neighbor.",Compositional,Solved,
img_47,"six equilateral triangles arranged from left to right, each sharing a base edge with the next, each outlined with a bold black line.",Compositional,Solved,
img_48,three hollow black circles arranged in a horizontal line with overlapping edges.,Compositional,Solved,
img_49,"three adjacent squares arranged horizontally from left to right. Each square shares one vertical side with the next, forming a straight horizontal row.",Compositional,Solved,
img_50,"six identical, evenly spaced semicircles arranged horizontally from left to right, all facing to the left, each one is outlined with bold black lines.",Compositional,Solved,
img_51,"six overlapping octagons arranged in a circular pattern, with each octagon partially covering its neighbors. The shapes are evenly spaced and interconnected, creating a complex, flower-like or webbed geometric design.",Complex,Solved,Not sure if it is complex
img_52,"three pentagons, each connected by a single shared vertex (tip). The pentagons are arranged in a triangular formation, radiating outward from the common point where their tips meet.",Compositional,Solved,
img_53," six overlapping circles arranged in a radial pattern, with each circle intersecting at the center. The configuration resembles a flower, with the circles forming petal-like shapes around a central point.",Compositional,Solved,Not sure if it is complex
img_54,"three non-overlapping triangles, each sharing a common vertex at the center. The triangles are symmetrically arranged in a Y-shaped pattern, with one triangle pointing downward and the other two pointing diagonally upward to the left and right.",Compositional,Solved,
img_55,"three squares, each connected at a single common vertex. The squares are arranged in a fan-like or pinwheel pattern, radiating outward from the shared corner point.",Compositional,Solved,
img_56,"eight overlapping pentagons arranged in a circular, radial pattern, with their pointed tips facing outward from a shared central vertex. The pentagons are evenly spaced around the center, forming a symmetrical, flower-like design.",Complex,Solved,
img_57,"three identical semicircle arranged in a radial pattern around a central point. Each semicircle curves outward and is evenly spaced at 120-degree intervals, forming a pinwheel-like or rotating fan appearance.",Compositional,Solved,
img_58,"eight identical semicircles (arc shapes) arranged in a circular, radial pattern around a central point. Each arc curves outward and is evenly spaced at 45-degree intervals, forming a swirling, pinwheel-like design that resembles a stylized spinning motion or spiral flower.",Complex,Solved,Not sure if it is complex
img_59,"three connected hexagons arranged in a honeycomb-like pattern, resembling a small section of a beehive. Each hexagon shares an edge with another, forming a compact, interlocking structure typical of natural honeycomb designs.",Compositional,Solved,
img_60,"seven straight lines radiating from a common central point, evenly spaced to form a starburst or asterisk-like shape. The lines are arranged at equal angles, giving the appearance of a simple geometric star with seven arms.",Compositional,Solved,
img_61,"two overlapping squares, one upright and one rotated 45 degrees, sharing a common center. For each square, two diagonal lines connect the midpoints of opposite edges, forming an internal cross. The overall shape resembles an eight-pointed star with intersecting lines.",Complex,Solved,
img_62,"eight straight lines intersecting at a common center, forming a symmetrical asterisk-like shape. The lines are evenly spaced at 45-degree intervals, radiating outward in all directions.",Compositional,Solved,
img_63,"six identical curved lines arranged radially around a central point, forming a pinwheel or flower-like shape. Each curve extends outward, starting straight from the center and bending smoothly at the end",Complex,Solved,
img_64,"three squares connected to the ends of a Y-shaped structure, with each square placed at the tip of a straight line radiating from a central point.",Compositional,Solved,
img_65,"eight pentagons, each connected to the tip of a straight line radiating from a central point. The lines are evenly spaced, forming a symmetrical starburst pattern with a pentagon at the end of each ray.",Compositional,Solved,
img_66,"three circles connected to the ends of a Y-shaped structure, with each square placed at the tip of a straight line radiating from a central point.",Compositional,Solved,
img_67,"six heptagons, each attached to the tip of a straight line radiating from a central point. The lines form a symmetrical star-like pattern, with the heptagons evenly spaced in a circular arrangement.",Compositional,Solved,
img_68,"three small squares, each attached to the end of a line radiating from a central point in a Y-shaped formation. The squares are evenly spaced and slightly rotated, giving a dynamic, pinwheel-like appearance.",Compositional,Solved,
img_69," six straight lines radiating from a central point, each ending in a small circle. The lines are evenly spaced at 60-degree intervals, forming a symmetrical star-like or snowflake pattern with circles at the tips.",Compositional,Solved,
img_70,"shows six heptagons arranged in a circular pattern, forming a symmetrical flower-like shape. Each pair of adjacent heptagons shares a common edge that points toward the center, and this shared base is connected to the central point. The heptagons slightly overlap, creating a tightly connected, radial design.",Complex,Solved,
img_71,"six circles arranged in a circular pattern around a central point. Each circle is connected to the center by a straight line extending to its edge. The lines are evenly spaced, forming a radial, flower-like or starburst design.",Compositional,Solved,
img_72,"three heptagons positioned at the ends of a Y-shaped structure. Each heptagon is connected to the central point by a straight line, and they are evenly spaced at 120-degree angles",Compositional,Solved,
img_73,"eight triangles arranged in a circular pattern around a central point. Each triangle is connected to the center by a straight line that extends from the triangle's base midpoint to the central point. The triangles are evenly spaced, forming a symmetrical pattern.",Compositional,Solved,
img_74,"eight triangles arranged radially around a central point. Each triangle is connected by a straight long line from the center to its tip (apex), with the bases facing outward. The triangles are evenly spaced, forming a symmetrical, starburst-like pattern.",Compositional,Solved,
img_75,"three non-overlapping circles arranged in a triangular formation. They are evenly spaced, with one circle at the bottom and two near the top, resembling the vertices of an equilateral triangle.",Compositional,Solved,
img_76,six non-overlapping squares arranged in a circular or flower-like pattern around a central empty space. Each square is slightly rotated relative to the previous one,Compositional,Solved,
img_77,"eight heptagon arranged in a circular formation, resembling a flower-like pattern. Each pentagon is slightly rotated relative to the previous one, and they are evenly spaced around an empty central area",Compositional,Solved,
img_78,eight identical circles arranged evenly in a circular formation around a central empty space. The circles do not overlap and are uniformly spaced.,Compositional,Solved,
img_79,"five identical semicircles shapes arranged in a circular pattern around a central space. Each semicircle is slightly rotated compared to the previous one, and all face outward.",Compositional,Solved,These photos can not just be represented by description
img_80,eight overlapping identical octagons arranged in a circular pattern around a central point. The inner part of the arrangement forms a small star-like shape.,Complex,Solved,
img_81,"three identical circles arranged in a triangular formation. They are evenly spaced, with two circles at the top and one centered below them, forming the shape of an upright triangle.",Compositional,Solved,
img_82,"eight identical arc shapes arranged in a circular pattern around a central space. Each arc is slightly rotated relative to the previous one and faces outward, forming a symmetrical, flower-like or cloud-like design with a smooth, looping appearance.",Complex,Solved,
img_83,"eight identical pentagons arranged in a circular pattern, with each one slightly rotated relative to the previous. The pentagons are overlapped slightly.",Compositional,Solved,need to pass the actual photo
img_84,eight small squares arranged in a circular pattern around a central space.,Compositional,Solved,
img_85,eight small hollow identical circles arranged evenly in a circular formation around a central space.,Compositional,Solved,
img_86,"three non-overlapping heptagons arranged in a triangular formation. Each heptagon is identical in size and orientation, evenly spaced with one at the bottom and two positioned above",Compositional,Solved,
img_87,"a five-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small circle at the end. The arms are evenly spaced around a central point, creating a symmetrical, star-like design.",Compositional,Solved,
img_88,"a six-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small square at the end. The squares are evenly spaced around a central point, with alternating rotations, forming a symmetrical design.",Compositional,Solved,
img_89,"a three-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small pentagon at the end. The pentagons are evenly spaced around a central point, forming a simple, symmetrical radial design.",Compositional,Solved,
img_90,"a six-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small triangle at the end. The triangles alternate in orientation (pointing up and down) and are evenly spaced around a central point, forming a symmetrical, star-like design.",Compositional,Solved,
img_91,"an seven-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a semicircle at the end. The semicircles (arcs) are evenly spaced and slightly rotated around a central point.",Compositional,Solved,
img_92,"an eight-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small triangle at the end. The triangles are evenly spaced around a central point and are rotated progressively.",Compositional,Solved,
img_93,"an eight-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small circle at the end. The circles are evenly spaced around a central point",Compositional,Solved,
img_94,"a three-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small circle at the end. The circles are evenly spaced around a central space, forming a triangular, radial arrangement.",Compositional,Solved,
img_95,"a seven-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small circle at the end. The circles are evenly spaced around a central point, creating a symmetrical, flower-like radial arrangement.",Compositional,Solved,
img_96,"a three-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small triangle at the end. Each short line and triangle is spaced 120 degrees apart, creating a balanced, symmetrical radial arrangement.",Compositional,Solved,
img_97,"a seven-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small square at the end. Each square is slightly rotated relative to the previous one, forming a symmetrical, radial design.",Compositional,Solved,
img_98,"a six-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small pentagon at the end. The arms are evenly spaced at 60-degree intervals around a central space and are slightly rotated relative to each other, forming a symmetrical, radial design.",Compositional,Solved,
img_99,"five clusters of overlapping pentagons, arranged in a circular pattern. Each cluster contains two pentagons of the same size that slightly overlap. The amount and angle of overlap vary between clusters, gradually changing from one to the next.",Complex,Solved,description is not enough
img_100,"an eight-sided snowflake pattern, where each arm consists of a short space, a short line, another short space, and a small semicircle at the end. The semicircles are identical in shape and evenly spaced at 45-degree intervals.",Compositional,Solved,
img_101,"a circular arrangement of eight clusters, each consisting of a pentagon overlapping with a circle. All clusters are identical in size and evenly spaced around a central point and each two adjacent clusters slightly overlap with one another.",Complex,Solved,
img_102,"six small circles arranged in a hexagonal ring, each touching its adjacent circles to form a compact cluster. Surrounding them are six evenly spaced semicircles, each one facing inward toward the cluster",Compositional,Solved,
img_103,"eight identical pentagons arranged in a circular formation, each one slightly overlapping with its neighboring pentagons. Also eight inward-facing arcs are placed, each one starting near the two outer vertices of the base of a pentagon",Complex,Solved,
img_104,"six identical circles arranged in a circular formation, evenly spaced around a central point. Inside each circle is a triangle that has a line connecting its base to the circle’s edge.",Complex,Solved,
img_105,"three clusters, each consisting of one large arc and one small arc facing each other. These clusters are arranged in a circular pattern, evenly spaced around a central area.",Complex,Solved,
img_106,"eight identical clusters, each consisting of a large circle overlapping with a smaller circle. These clusters are arranged evenly around a ninth small circle at the center, with each outer cluster touching the central circle slightly.",Complex,Solved,
img_107,"five identical clusters, each made up of two touching circles. These clusters are arranged in a circular pattern.",Compositional,Solved,
img_108,"three identical clusters, each consisting of a small circle and a square of the same size, overlapping such that the edge of the square cuts the circle exactly in half. The clusters are evenly spaced at 120-degree intervals, forming a rotating appearance.",Compositional,Solved,
img_109,"five clusters, each consisting of a pentagon and a square of the same size overlapping each other. In each cluster, the square is positioned differently relative to the pentagon, with varying angles and overlap regions.",Complex,Solved,description is not enough
img_110,"six clusters, each consisting of a pentagon and a square of the same size overlapping each other, with each pentagon slightly touching its neighboring pentagons. In each cluster, the square is positioned differently relative to the pentagon, with varying angles and overlap regions.",Complex,Solved,description is not enough
